"","genus","max.stage","min.stage","GCD","LatRange","LongRange","Extinct","Stage","Regime","phylum","class","order","family"
"14","Amauropsis","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Mollusca","Gastropoda",NA,"Naticidae"
"15","Amblysiphonella","Ladinian","Rhaetian",1031.28379839523,9.31298358,0.0784061800000018,0,"Ladinian","background","Porifera","Demospongea","Agelasida","Sebargasiidae"
"16","Amphijanira","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Mollusca","Bivalvia","Pectinida","Aviculopectinidae"
"17","Amphipopanoceras","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Parapopanoceratidae"
"18","Ampullina","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Mollusca","Gastropoda","Architaenioglossa","Ampullinidae"
"19","Amusium","Ladinian","Toarcian",4556.17580296338,8.63836386,42.69291137,0,"Ladinian","background","Mollusca","Bivalvia","Pectinida","Pectinidae"
"20","Anagymnites","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Gymnitidae"
"21","Andangularia","Ladinian","Norian",497.14454318405,4.25218578,1.56661831,0,"Ladinian","background","Mollusca","Gastropoda","Murchisoniina","Zygopleuridae"
"22","Aneisohealdia","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Arthropoda","Ostracoda","Podocopida",NA
"23","Aneurolepis","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Chordata","Actinopterygii",NA,NA
"24","Angustothyris","Ladinian","Ladinian",5633.11339573032,9.4948639998,54.5994683837,1,"Ladinian","background","Brachiopoda","Rhynchonellata","Terebratulida","Angustothyrididae"
"25","Anisactinella","Ladinian","Carnian",541.196403292216,2.20087281210526,4.47569879852632,0,"Ladinian","background","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae"
"26","Anodontophora","Ladinian","Rhaetian",7292.51595889473,60.7955793657531,66.2717419825062,0,"Ladinian","background","Mollusca","Bivalvia","Trigoniida","Trigonodidae"
"27","Anolcites","Ladinian","Norian",13054.7914248338,38.41355071513,131.1624024346,0,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Trachyceratidae"
"28","Anshunsaurus","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Chordata","Reptilia","Thalattosauria","Askeptosauridae"
"29","Anticonulus","Ladinian","Pliensbachian",NA,NA,NA,0,"Ladinian","background","Mollusca","Gastropoda",NA,"Trochidae"
"30","Antiquilima","Ladinian","Pliensbachian",NA,NA,NA,0,"Ladinian","background","Mollusca","Bivalvia","Pectinida","Limidae"
"31","Antrimpos","Ladinian","Hettangian",NA,NA,NA,0,"Ladinian","background","Arthropoda","Malacostraca","Decapoda","Penaeidae"
"32","Aparimella","Ladinian","Carnian",105.149064936839,0.7885244926,1.971173829,0,"Ladinian","background","Mollusca","Bivalvia","Ostreida","Halobiidae"
